STDG_SGG_CD,flood_count,total_flood_area,avg_flood_area,max_flood_area,std_flood_area,avg_flood_depth,max_flood_depth,total_duration_days,avg_duration_days,max_duration_days,first_flood_year,last_flood_year,flood_years_count,annual_flood_frequency,flood_concentration
41610,13,2800.9,215.45384615384617,550.4,144.32287653836343,0.3532307692307692,0.75,0.0,0.0,0.0,2020.0,2020.0,1,13.0,13.0
41630,92,1294068.8,14065.965217391305,99383.6,20997.116931321027,0.5098586956521739,1.65,34.0,0.3695652173913043,1.0,2018.0,2022.0,3,18.4,30.666666666666668
41650,141,567334.668,4023.650127659574,59376.844,8354.510963522338,0.5,0.5,1269.0,9.0,9.0,2022.0,2022.0,1,141.0,141.0
41670,54,847264.7000000001,15690.087037037038,92662.1,24886.637812758356,0.8657592592592592,2.562,39.0,0.7222222222222222,1.0,2020.0,2022.0,2,18.0,27.0
41800,29,1526061.44,52622.808275862066,111183.5,36251.81429338903,1.110837931034483,5.89,12.0,0.41379310344827586,1.0,2018.0,2020.0,2,9.666666666666666,14.5
41820,3,1742.7,580.9,1096.4,477.7260616713306,0.8823333333333334,0.942,0.0,0.0,0.0,2020.0,2020.0,1,3.0,3.0
41830,65,33143.7,509.90307692307687,4039.2,659.0732420815494,0.6685846153846153,1.558,72.0,1.1076923076923078,8.0,2020.0,2022.0,2,21.666666666666668,32.5
42110,49,1283001.7,26183.708163265306,117931.3,36461.79383044233,1.9564081632653063,7.841,140.0,2.857142857142857,14.0,2020.0,2022.0,2,16.333333333333332,24.5
42130,43,1275873.5,29671.476744186046,223922.8,56870.08706833428,1.3932558139534883,4.193,372.0,8.651162790697674,9.0,2020.0,2022.0,2,14.333333333333334,21.5
42150,64,4539918.899999999,70936.23281249999,199966.8,75479.81430726405,1.0805625,2.621,13.0,0.203125,1.0,2019.0,2022.0,2,16.0,32.0
42170,7,424446.2,60635.17142857143,77282.0,28429.87213013302,0.5837142857142857,1.014,7.0,1.0,1.0,2019.0,2019.0,1,7.0,7.0
42210,17,130727.721,7689.865941176471,22130.318,7421.79823572488,0.37058823529411766,0.7,17.0,1.0,1.0,2018.0,2018.0,1,17.0,17.0
42230,255,4471669.1,17535.957254901958,131030.6,22291.063655030335,1.0048823529411766,2.729,584.0,2.2901960784313724,62.0,2019.0,2020.0,2,127.5,127.5
42720,63,192963.276,3062.9091428571433,25737.447,3909.0693697643815,1.0312222222222223,5.01,184.0,2.9206349206349205,14.0,2018.0,2020.0,2,21.0,31.5
42780,28,39357612.199999996,1405629.007142857,1699530.4,641915.2505377625,1.5366785714285716,4.488,140.0,5.0,5.0,2020.0,2020.0,1,28.0,28.0
