BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,SIGUNGU_FNM,AREA,PERIMETER,CODE_DC,SOILDRA
20240630,11230,동대문구,서울특별시 동대문구,13030900.00000000000,72698.60000000002,4,약간불량
20240630,11260,중랑구,서울특별시 중랑구,31891800.00000000000,189323.00000000000,2,양호
20240630,11290,성북구,서울특별시 성북구,89383900.00000000000,215908.00000000000,1,매우양호
20240630,11305,강북구,서울특별시 강북구,89383900.00000000000,215908.00000000000,1,매우양호
20240630,11320,도봉구,서울특별시 도봉구,89383900.00000000000,215908.00000000000,1,매우양호
20240630,11350,노원구,서울특별시 노원구,38156000.00000000000,110837.00000000000,1,매우양호
20240630,11380,은평구,서울특별시 은평구,20320100.00000000000,122903.00000000000,2,양호
20240630,11410,서대문구,서울특별시 서대문구,10356900.00000000000,59841.30000000000,2,양호
20240630,11440,마포구,서울특별시 마포구,680851000.00000000000,14116100.00000000000,2,양호
20240630,11470,양천구,서울특별시 양천구,123457000.00000000000,893651.00000000000,2,양호
20240630,11500,강서구,서울특별시 강서구,123457000.00000000000,893651.00000000000,2,양호
20240630,11530,구로구,서울특별시 구로구,123457000.00000000000,893651.00000000000,2,양호
20240630,11545,금천구,서울특별시 금천구,14564300.00000000000,115343.00000000000,2,양호
20240630,11560,영등포구,서울특별시 영등포구,680851000.00000000000,14116100.00000000000,2,양호
20240630,11590,동작구,서울특별시 동작구,9220870.00000000000,68578.30000000000,2,양호
20240630,11620,관악구,서울특별시 관악구,39893700.00000000000,163558.00000000000,1,매우양호
20240630,11650,서초구,서울특별시 서초구,19799200.00000000000,128575.00000000000,2,양호
20240630,11680,강남구,서울특별시 강남구,19799200.00000000000,128575.00000000000,2,양호
20240630,11710,송파구,서울특별시 송파구,13233300.00000000000,124284.00000000000,2,양호
20240630,11740,강동구,서울특별시 강동구,11669800.00000000000,95510.50000000000,2,양호
20240630,26110,중구,부산광역시 중구,28388900.00000000000,280795.00000000000,2,양호
20240630,26140,서구,부산광역시 서구,28388900.00000000000,280795.00000000000,2,양호
20240630,26170,동구,부산광역시 동구,10770900.00000000000,136687.00000000000,1,매우양호
20240630,26200,영도구,부산광역시 영도구,6242260.00000000000,43735.50000000000,2,양호
20240630,26230,부산진구,부산광역시 부산진구,39607800.00000000000,248093.00000000000,2,양호
20240630,26260,동래구,부산광역시 동래구,48448200.00000000000,802727.00000000000,1,매우양호
20240630,26290,남구,부산광역시 남구,39607800.00000000000,248093.00000000000,2,양호
20240630,26320,북구,부산광역시 북구,48448200.00000000000,802727.00000000000,1,매우양호
20240630,26350,해운대구,부산광역시 해운대구,19723700.00000000000,265241.00000000000,1,매우양호
20240630,26380,사하구,부산광역시 사하구,28388900.00000000000,280795.00000000000,2,양호
20240630,26410,금정구,부산광역시 금정구,48448200.00000000000,802727.00000000000,1,매우양호
20240630,26440,강서구,부산광역시 강서구,17620300.00000000000,69598.39999999999,3,약간양호
