지점,시작일,종료일,지점명,지점주소,관리관서
131,1967-01-01,,청주,충청북도 청주시흥덕구 복대동,청주기상대(131)
133,1969-01-01,,대전,대전광역시 유성구 구성동,대전지방기상청(133)
135,1937-01-11,,추풍령,충청북도 영동군 추풍령면 관리,청주기상대(131)
136,1983-01-01,,안동,경상북도 안동시 운안동,안동기상대(136)
136,1973-01-01,1978-05-01,안동,경상북도 안동시 운안동,
137,2002-01-01,,상주,경상북도 상주시 낙양동,대구(구 143)
138,1943-01-01,,포항,경상북도 포항시남구 송도동,포항기상대(138)
140,2003-12-31,,군산,전북특별자치도 군산시 금동,전주기상대(146)
140,1968-01-01,2003-12-01,군산,전북특별자치도 군산시 금동,
143,2017-08-25,,대구,대구광역시 동구 효목동,대구(구 143)
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효목동,대구(구 143)
146,2015-07-01,,전주,전북특별자치도 전주시 덕진구 덕진동2가,전주기상대(146)
146,1918-06-23,2015-07-01,전주,전북특별자치도 전주시완산구 남노송동,전주기상대(146)
152,2017-08-25,,울산,울산광역시 중구 약사동,울산기상대(152)
152,2016-04-01,2017-08-25,울산,울산광역시 중구 서동,울산기상대(152)
152,1932-01-06,2016-04-01,울산,울산광역시 중구 북정동,울산기상대(152)
155,2010-07-22,,창원,경상남도 창원시 마산합포구 가포동,창원기상대(155)
155,2004-12-16,2010-07-22,마산,경상남도 창원시 마산합포구 가포동,
155,1985-07-01,2004-12-16,마산,경상남도 창원시 마산합포구 월포동,
156,1939-05-01,,광주,광주광역시 북구 운암동,광주지방기상청(156)
159,1904-04-09,,부산,부산광역시 중구 대청동1가,부산지방기상청(159)
162,1968-01-01,,통영,경상남도 통영시 정량동,부산지방기상청(159)
164,1993-01-01,2000-07-31,무안,전라남도,
165,2019-10-31,,목포,전라남도 목포시 연산동,목포기상대(165)
165,1904-04-08,2019-10-31,목포,전라남도 목포시 연산동,목포기상대(165)
168,1942-03-01,,여수,전라남도 여수시 중앙동,여수기상대(168)
169,1997-01-01,,흑산도,전라남도 신안군 흑산면 예리,흑산도기상대(169)
170,1971-01-31,,완도,전라남도 완도군 군외면 불목리,목포기상대(165)
172,2010-12-01,,고창,전북특별자치도 고창군 대산면 매산리,전주기상대(146)
174,2011-04-01,,순천,전라남도 순천시 승주읍 평중리,광주지방기상청(156)
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군 의신면 사천리,목포기상대(165)
176,2013-10-10,2015-06-11,대구(기),대구광역시 동구 효목동,대구기상대(176)
177,2017-10-31,,홍성,충청남도 홍성군 광천읍 월림리,
177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군 광천읍 월림리,홍성기상대(서산 129)
181,2023-05-01,,서청주,충청북도 청주시흥덕구 강내면 학천리,청주기상대(131)
181,2022-01-21,2023-05-01,서청주(예),,청주기상대(131)
184,1923-05-01,,제주,제주특별자치도 제주시 건입동,제주지방기상청(184)
185,1988-01-01,,고산,제주특별자치도 제주시 한경면 고산리,제주지방기상청(184)
187,2007-03-27,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,
188,2008-09-04,,성산,제주특별자치도 서귀포시 성산읍 신산리,제주지방기상청(184)
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,성산지역기상서비스센터(188)
189,2010-11-09,,서귀포,제주특별자치도 서귀포시 서귀동,제주지방기상청(184)
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시 서귀동,서귀포지역기상서비스센터(189)
192,2005-11-23,,진주,경상남도 진주시 평거동,창원기상대(155)
192,1969-03-01,2005-11-23,진주,경상남도 진주시 초전동,
201,1972-01-11,,강화,인천광역시 강화군 불은면 삼성리,인천기상대(112)
202,1972-01-11,,양평,경기도 양평군 양평읍 양근리,수도권기상청(119)
203,1972-01-11,,이천,경기도 이천시 부발읍 신하리,수도권기상청(119)
211,2025-07-30,,인제,강원특별자치도 인제군 인제읍 남북리,강릉(구 105)
211,1971-12-01,2025-07-30,인제,강원특별자치도 인제군 인제읍 남북리,인제자동기상관측소(211)
212,1971-09-27,,홍천,강원특별자치도 홍천군 홍천읍 연봉리,춘천기상대(101)
214,1971-02-28,1996-01-01,삼척,강원특별자치도,
216,1985-08-01,,태백,강원특별자치도 태백시 황지동,태백자동기상관측소(216)
217,2025-12-17,,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105)
217,2023-07-01,2025-12-17,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105)
217,2010-08-06,2023-07-01,정선군,강원특별자치도 정선군 정선읍 북실리,
221,1972-01-11,,제천,충청북도 제천시 신월동,청주기상대(131)
226,1972-01-09,,보은,충청북도 보은군 보은읍 성주리,청주기상대(131)
232,2016-04-01,,천안,충청남도 천안시 동남구 병천면 병천리,대전지방기상청(133)
232,1972-01-08,2016-04-01,천안,충청남도 천안시 동남구 신방동,천안지역기상서비스센터(232)
235,1972-01-24,,보령,충청남도 보령시 요암동,대전지방기상청(133)
236,1972-01-09,,부여,충청남도 부여군 부여읍 가탑리,대전지방기상청(133)
238,1972-01-09,,금산,충청남도 금산군 금산읍 아인리,대전지방기상청(133)
239,2020-04-01,,세종,세종특별자치시 새롬동,대전지방기상청(133)
239,2019-05-31,2020-04-01,세종(예),세종특별자치시 새롬동,대전지방기상청(133)
243,1972-03-01,,부안,전북특별자치도 부안군 행안면 역리,전주기상대(146)
244,1970-06-02,,임실,전북특별자치도 임실군 임실읍 이도리,전주기상대(146)
245,2016-11-01,,정읍,전북특별자치도 정읍시 상평동,전주기상대(146)
245,1970-01-05,2016-11-01,정읍,전북특별자치도 정읍시 상동,전주기상대(146)
247,2017-08-25,,남원,전북특별자치도 남원시 도통동,전주기상대(146)
247,2013-08-01,2017-08-25,남원,전북특별자치도 남원시 도통동,전주기상대(146)
247,1972-01-04,2013-08-01,남원,전북특별자치도 남원시 대산면 수덕리,남원기상대(247)
248,1988-01-01,,장수,전북특별자치도 장수군 장수읍 선창리,전주기상대(146)
251,2010-12-01,,고창군,전북특별자치도 고창군 고창읍 덕산리,전주기상대(146)
251,2008-11-28,2010-12-01,고창,전북특별자치도 고창군 고창읍 덕산리,고창기상대(미사용 251)
251,2007-11-01,2008-11-28,고창,전북특별자치도 고창군 고창읍 읍내리,고창기상대(미사용 251)
252,2007-11-26,,영광군,전라남도 영광군 군서면 만곡리,광주지방기상청(156)
253,2008-02-13,,김해시,경상남도 김해시 부원동,부산지방기상청(159)
254,2008-07-16,,순창군,전북특별자치도 순창군 순창읍 교성리,전주기상대(146)
255,2010-07-22,,북창원,경상남도 창원시 성산구 내동,창원기상대(155)
255,2008-12-26,2010-07-22,창원시,경상남도 창원시 성산구 내동,
256,2011-04-01,2012-07-02,주암,전라남도 순천시 주암면 구산리,순천기상대(174)
256,1972-01-21,2011-04-01,순천,전라남도 순천시 주암면 구산리,순천기상대(미사용 256)
257,2008-12-26,,양산시,경상남도 양산시 동면 금산리,울산기상대(152)
258,2010-03-11,,보성군,전라남도 보성군 득량면 예당리,여수기상대(168)
258,2010-02-08,2010-03-11,보성군,전라남도 보성군 득량면 예당리,여수기상대(168)
259,2021-02-25,,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165)
259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165)
260,1972-01-21,,장흥,전라남도 장흥군 장흥읍 축내리,목포기상대(165)
261,1971-02-03,,해남,전라남도 해남군 해남읍 남천리,목포기상대(165)
262,2017-08-25,,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168)
262,1972-01-22,2017-08-25,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168)
263,2010-06-21,,의령군,경상남도 의령군 의령읍 무전리,창원기상대(155)
264,2010-06-21,,함양군,경상남도 함양군 함양읍 용평리,창원기상대(155)
265,1971-07-15,2007-03-27,성산포,제주특별자치도 서귀포시 성산읍 신산리,
266,2017-08-25,,광양시,전라남도 광양시 중동,광주지방기상청(156)
266,2011-01-01,2017-08-25,광양시,전라남도 광양시 중동,광주지방기상청(156)
268,2014-05-09,,진도군,전라남도 진도군 진도읍 남동리,목포기상대(165)
271,2020-12-04,,봉화,경상북도 봉화군 춘양면 의양리,안동기상대(136)
271,1988-01-01,2020-12-04,봉화,경상북도 봉화군 춘양면 의양리,대구(구 143)
272,1972-11-28,,영주,경상북도 영주시 풍기읍 성내리,안동기상대(136)
273,2020-12-04,,문경,경상북도 문경시 유곡동,안동기상대(136)
273,1973-01-01,2020-12-04,문경,경상북도 문경시 유곡동,대구(구 143)
276,2020-12-04,,청송군,경상북도 청송군 청송읍,대구(구 143)
276,2010-09-01,2020-12-04,청송군,경상북도 청송군 청송읍,안동기상대(136)
277,1972-01-03,,영덕,경상북도 영덕군 영해면 성내리,포항기상대(138)
278,1973-01-01,,의성,경상북도 의성군 의성읍 원당리,대구(구 143)
279,1973-01-01,,구미,경상북도 구미시 남통동,대구(구 143)
281,1972-01-21,,영천,경상북도 영천시 망정동,대구(구 143)
283,2010-08-06,,경주시,경상북도 경주시 탑동,포항기상대(138)
284,2011-03-04,,거창,경상남도 거창군 거창읍 정장리,울산기상대(152)
284,1972-01-24,2011-03-04,거창,경상남도 거창군 거창읍 김천리,거창기상대(284)
285,1973-01-01,,합천,경상남도 합천군 합천읍 합천리,울산기상대(152)
288,1973-01-01,,밀양,경상남도 밀양시 내이동,울산기상대(152)
289,1972-03-30,,산청,경상남도 산청군 산청읍 지리,창원기상대(155)
294,1972-01-24,,거제,경상남도 거제시 장평동,부산지방기상청(159)
295,1972-01-24,,남해,경상남도 남해군 이동면 다정리,부산지방기상청(159)
296,2025-04-25,,북부산,부산광역시 강서구 대저1동,부산지방기상청(159)
