fid,BASE_DATE,SIGUNGU_CD,SIGUNGU_NM
210,"20240630","37040",안동시
211,"20240630","37050",구미시
212,"20240630","37060",영주시
213,"20240630","37070",영천시
214,"20240630","37080",상주시
215,"20240630","37090",문경시
216,"20240630","37100",경산시
217,"20240630","37520",의성군
218,"20240630","37530",청송군
219,"20240630","37540",영양군
220,"20240630","37550",영덕군
221,"20240630","37560",청도군
222,"20240630","37570",고령군
223,"20240630","37580",성주군
224,"20240630","37590",칠곡군
225,"20240630","37600",예천군
226,"20240630","37610",봉화군
227,"20240630","37620",울진군
228,"20240630","37630",울릉군
229,"20240630","38030",진주시
230,"20240630","38050",통영시
231,"20240630","38060",사천시
232,"20240630","38070",김해시
233,"20240630","38080",밀양시
234,"20240630","38090",거제시
235,"20240630","38100",양산시
236,"20240630","38111",창원시 의창구
237,"20240630","38112",창원시 성산구
238,"20240630","38113",창원시 마산합포구
239,"20240630","38114",창원시 마산회원구
240,"20240630","38115",창원시 진해구
241,"20240630","38510",의령군
242,"20240630","38520",함안군
243,"20240630","38530",창녕군
244,"20240630","38540",고성군
245,"20240630","38550",남해군
246,"20240630","38560",하동군
247,"20240630","38570",산청군
248,"20240630","38580",함양군
249,"20240630","38590",거창군
250,"20240630","38600",합천군
251,"20240630","39010",제주시
252,"20240630","39020",서귀포시
