FLOOD_YEAR,DAM_RAIN,DEAD,SIGUNGU,FLOOD_GRD
2020,,,43150,5.0
2020,,,43150,1.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,6.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,5.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,180.0,,48240,
2022,265.0,,48240,
2022,,,27170,
2022,,,47830,
2022,,,47760,
2023,,,47290,
2023,,,31710,
2024,2102.0,0.0,46910,
2023,,,43745,
2020,,,47150,
2020,211.0,,47900,
2021,244.0,,26350,1.0
2022,,,47840,
2023,,,48310,
2019,,,44131,
2021,,,44180,
2020,,,51750,
2022,,0.0,51770,
2022,365.0,,52190,
2022,,,48860,
2021,,,43740,
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,5.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,6.0
2021,,,48270,5.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,6.0
2021,,,48270,4.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,5.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,6.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,3.0
