SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA
43111,2017,7,2917.401
43111,2017,7,2989.331
43111,2017,7,2212.514
43111,2017,7,11029.367
43111,2017,7,3837.832
43111,2017,7,5294.575
43111,2017,7,5766.543
43111,2017,7,8555.488
43111,2017,7,3987.166
43111,2017,7,8117.565
43111,2017,7,10542.252
43111,2017,7,20799.615
43111,2017,7,3707.968
43111,2017,7,8437.225
43111,2017,7,1871.912
43111,2017,7,1853.561
43111,2017,7,9775.504
43111,2017,7,11863.835
43111,2017,7,3870.234
43111,2017,7,11831.068
43111,2017,7,2532.09
43111,2017,7,1513.709
43112,2017,7,19734.174
43112,2017,7,4857.199
43112,2017,7,5061.873
43112,2017,7,5405.687
43112,2017,7,38921.766
43112,2017,7,3751.664
43112,2017,7,2808.098
43112,2017,7,12337.724
43112,2017,7,18642.588
43112,2017,7,20831.295
43112,2017,7,11225.706
43112,2017,7,23274.285
43111,2017,7,4164.753
43112,2017,7,7009.045
43112,2017,7,3880.506
43112,2017,7,3995.666
43112,2017,7,5500.309
43112,2017,7,7663.721
43112,2017,7,1817.903
43112,2017,7,8835.867
43112,2017,7,3805.013
43112,2017,7,6130.584
43112,2017,7,3977.866
43112,2017,7,3469.485
43112,2017,7,3322.679
43111,2017,7,21094.82
43112,2017,7,11379.528
43112,2017,7,6220.141
43112,2017,7,4163.946
43112,2017,7,5776.59
43112,2017,7,1037.568
43112,2017,7,8454.688
43112,2017,7,2230.479
43112,2017,7,5269.62
43112,2017,7,2541.139
43112,2017,7,6458.794
43112,2017,7,1931.733
43112,2017,7,3644.026
43112,2017,7,1310.466
43112,2017,7,3868.158
43112,2017,7,15696.755
43112,2017,7,3062.088
43112,2017,7,3443.424
43112,2017,7,7859.015
43112,2017,7,14687.519
43112,2017,7,16871.541
43112,2017,7,1906.843
43112,2017,7,3870.788
43112,2017,7,5434.321
43112,2017,7,6252.025
43112,2017,7,7924.703
43112,2017,7,2954.289
43112,2017,7,2162.104
43112,2017,7,5026.546
43112,2017,7,1260.234
43112,2017,7,1269.608
43112,2017,7,2427.705
43112,2017,7,10350.167
43112,2017,7,14420.434
43112,2017,7,1409.853
43112,2017,7,4825.432
43112,2017,7,898.615
43112,2017,7,1496.96
43112,2017,7,1815.642
43112,2017,7,5835.287
43112,2017,7,1711.198
43112,2017,7,1153.632
43112,2017,7,6803.259
43112,2017,7,3814.255
43112,2017,7,1776.051
43112,2017,7,4514.195
43112,2017,7,1202.465
43112,2017,7,1899.023
43112,2017,7,4031.596
43112,2017,7,11698.726
43112,2017,7,1514.404
43112,2017,7,3750.788
43112,2017,7,910.61
43112,2017,7,4916.074
43112,2017,7,6083.522
43112,2017,7,2017.443
43112,2017,7,1774.886
43112,2017,7,5568.617
43112,2017,7,3614.978
43112,2017,7,3455.166
43112,2017,7,3648.626
43112,2017,7,1170.15
43112,2017,7,10896.739
43112,2017,7,1950.391
43112,2017,7,1031.128
43112,2017,7,2060.325
43112,2017,7,3327.188
43112,2017,7,1656.54
43112,2017,7,7357.232
43112,2017,7,7269.335
43112,2017,7,1023.265
43112,2017,7,6833.095
43112,2017,7,2758.448
43112,2017,7,1807.377
43112,2017,7,1255.684
43112,2017,7,8486.89
43112,2017,7,3102.714
43112,2017,7,1594.46
43112,2017,7,10072.01
43112,2017,7,3675.334
43112,2017,7,1556.312
43112,2017,7,1171.908
43112,2017,7,1952.787
43112,2017,7,2968.567
43112,2017,7,3986.415
43112,2017,7,6510.483
43112,2017,7,2576.802
43111,2017,7,4596.437
43111,2017,7,3214.885
43111,2017,7,6888.644
43111,2017,7,49812.734
43111,2017,7,14073.725
43111,2017,7,21408.922
43111,2017,7,10584.486
43111,2017,7,15879.785
43111,2017,7,1652.15
43111,2017,7,6879.774
43111,2017,7,12151.237
43111,2017,7,36137.836
43111,2017,7,62841.324
43111,2017,7,9921.214
43111,2017,7,4527.337
43111,2017,7,4523.36
43111,2017,7,31591.156
43111,2017,7,16164.209
43111,2017,7,2178.717
43111,2017,7,4524.089
31110,2016,10,5007.983
43111,2017,7,3382.274
43111,2017,7,8289.235
43111,2017,7,2168.908
43111,2017,7,11050.877
43111,2017,7,10807.724
43111,2017,7,3497.293
43111,2017,7,5802.342
43111,2017,7,7378.754
43111,2017,7,36085.504
43111,2017,7,10812.123
43111,2017,7,18611.203
43111,2017,7,15010.934
43111,2017,7,5980.096
26350,2016,10,11751.104
26380,2016,10,596.635
26380,2016,10,778.938
26380,2016,10,21764.898
26380,2016,10,26800.693
26500,2016,10,79408.78
31140,2016,10,66331.63
30200,2016,7,45441.137
30200,2016,7,20399.492
31110,2016,10,3923.179
31110,2016,10,44611.04
31140,2016,10,19503.736
