RIV_GRD,RIV_DIS_MIN,RIV_DIS_GRD,지역코드
3,7790.73028736148,1,26380
3,7772.21735462936,1,26380
3,7717.53244172884,1,26380
3,7614.35742344875,1,26380
3,7602.75011394624,1,26380
3,7620.84702952024,1,26380
3,7584.83969932541,1,26380
3,7568.6653563249,1,26380
3,2221.49207308533,1,26380
3,2168.45896454509,1,26380
3,2125.15709060074,1,26380
3,2158.55665890246,1,26380
3,1528.18402474406,1,26380
3,1992.96193532091,1,26380
3,1926.82487797002,1,26380
3,1963.14037799659,1,26380
3,1583.72722935077,1,26380
2,2014.67607144676,1,26530
3,387.817563792383,3,26440
2,161.763282072076,4,48123
2,756.826118939239,2,48125
3,3512.52946268925,1,48129
3,2215.54093744749,1,48129
3,2147.14161160252,1,48129
3,1828.51409559229,1,48129
3,507.824110711474,3,48129
3,121.983748963727,4,48129
3,795.320822045313,2,48310
3,260.254924426979,4,48820
3,37.3595712529208,5,48121
3,149.583336259588,4,48740
2,883.435653708636,2,27170
2,2162.5327511704,1,27110
2,1524.30231597154,1,27290
2,17.5729294136082,5,48880
2,104.632528876628,4,52730
2,71.2930675943157,5,52710
2,242.156133529435,4,29155
3,258.876412952135,4,46840
3,196.67601087378,4,46870
3,205.471135033937,4,46870
3,3230.37586558516,1,46870
3,3172.79856389279,1,46870
3,3133.11044125216,1,46870
3,3100.17622367809,1,46870
3,3107.11326766603,1,46870
3,3101.90867340093,1,46870
3,943.034458067555,2,46910
3,487.77361588564,3,46910
3,595.609116207239,3,46910
3,405.885316883368,3,46910
3,1358.3963369647,2,46910
3,811.775653286438,2,46910
3,1615.10774573317,1,46910
3,1356.52103406115,2,46910
3,1411.75298867839,2,46910
2,28.769603660769,5,46880
3,6610.84312592388,1,46870
3,6620.73001682329,1,46870
3,6725.10449249011,1,46870
3,6739.27354516398,1,46870
3,7482.57593552265,1,46870
3,7556.35626519081,1,46870
3,7571.96001712197,1,46870
3,7518.32666063764,1,46870
3,7521.9738396139,1,46870
3,7525.57114359878,1,46870
3,7665.50402636732,1,46870
3,7594.34514764796,1,46870
3,7683.1369883875,1,46870
3,6997.91445032134,1,46870
3,7438.02698809865,1,46870
3,7457.04765807841,1,46870
3,7417.5822176824,1,46870
3,7051.25652068981,1,46870
3,7206.64719736159,1,46870
3,7201.24007084668,1,46870
3,6970.36257913734,1,46870
3,6708.33695830108,1,46870
3,74.4905325450912,5,46870
3,1867.6758975385,1,52790
3,1072.92928631073,2,52800
2,1519.82225766935,1,52210
2,1680.85768257099,1,52800
2,1635.42939126143,1,52800
3,349.255725642492,3,52800
3,346.647675545254,3,52130
3,361.084487663531,3,52130
3,1362.40313073203,2,52130
3,208.786225433426,4,52800
3,184.224634344876,4,52800
3,175.875848244057,4,52800
3,196.76060324958,4,52800
3,205.81052060934,4,52800
3,214.139679522536,4,52800
3,550.457578202743,3,52800
3,465.599998942581,3,52800
3,489.853473210465,3,52800
3,458.041131037959,3,52800
3,463.26274317467,3,52800
3,475.024685032045,3,52800
3,470.451261090085,3,52800
3,484.734599483409,3,52800
3,475.856789300772,3,52800
3,570.47596642774,3,52800
3,343.80512283299,3,52800
3,5271.93170581694,1,52130
3,526.25713261588,3,52130
3,1037.64850101535,2,52130
3,621.200874377052,3,52130
3,866.067951991288,2,52130
3,123.204447282584,4,48310
3,117.300224699023,4,48310
3,267.117863943832,4,48310
3,268.361574380749,4,48310
3,297.430003354977,4,48310
3,243.300696638491,4,48310
3,122.309315639041,4,48310
3,106.58546253218,4,48310
3,103.960207865443,4,48310
3,81.2644750529881,5,48310
3,86.3665863643924,5,48310
3,994.444892460127,2,48840
3,1028.08474242412,2,48840
3,1085.95782887828,2,48840
3,363.14924634237,3,48840
3,170.903895316031,4,48310
3,457.182224532155,3,48310
2,365.333289621038,3,48310
2,331.151318383275,3,48310
3,741.171745154443,2,48310
3,162.220775212586,4,48310
3,213.833600378531,4,48310
3,206.280272540428,4,48220
3,196.905242165914,4,48220
3,374.828909013949,3,48310
3,140.184682115097,4,48310
3,201.04908340751,4,48310
2,341.497785132646,3,48310
2,1577.95998735742,1,48310
3,431.920953316946,3,48820
3,200.331783531391,4,48820
3,199.568049307236,4,48820
3,112.225177268336,4,48820
3,86.3499065695659,5,48820
3,73.0324356247367,5,48820
2,826.648898857144,2,48220
2,741.169158266028,2,48220
2,556.730672003048,3,48220
3,445.424588155901,3,48220
3,486.779959850489,3,48220
3,423.20375778295,3,48220
2,316.015980147767,3,48220
3,847.33335344003,2,48220
3,775.70058227942,2,48220
3,877.60573645687,2,48310
3,843.190953374348,2,48310
3,240.031686483017,4,48220
2,1039.32707845325,2,48220
3,301.65126570727,3,48220
